41461595	53	2458	<c#><.net><generics>	2017-01-04 10:29:00+00
42287737	96	5296	<c#><.net><asynchronous><async-await>	2017-02-17 01:20:00+00
41632387	109	7107	<c#>	2017-01-13 10:27:00+00
42679712	61	3745	<unicode><emoji><codepoint>	2017-03-08 19:00:00+00
42939454	261	46707	<.net><.net-core><class-library><.net-standard>	2017-03-21 22:34:00+00
42942952	68	8663	<java><android><design-patterns><coding-style><try-catch>	2017-03-22 04:47:00+00
43003012	162	86163	<java><macos><intellij-idea>	2017-03-24 15:10:00+00
43007761	69	28633	<nunit><visual-studio-2017><vstest>	2017-03-24 19:34:00+00
43338084	80	12418	<c><pointers><initialization>	2017-04-11 06:15:00+01
42553039	144	6818	<c#><.net><visual-studio><.net-core>	2017-03-02 10:37:00+00
42554337	66	32466	<qt><android-studio><avd>	2017-03-02 11:33:00+00
42717688	55	13931	<visual-studio><visual-studio-2017>	2017-03-10 11:47:00+00
42861930	94	44459	<c#><visual-studio><unit-testing><visual-studio-2017>	2017-03-17 15:52:00+00
47352663	76	4655	<c++><language-lawyer><sizeof>	2017-11-17 14:14:00+00
47387519	51	4226	<c#><primitive-types>	2017-11-20 08:09:00+00
47531139	54	5221	<c++><endianness><language-features><static-typing>	2017-11-28 12:02:00+00
44129275	52	8184	<c++><operator-overloading>	2017-05-23 08:11:00+01
48323493	83	4232	<python><python-3.x>	2018-01-18 14:23:00+00
45912510	359	17785	<java><jvm><jit><jvm-hotspot>	2017-08-28 05:55:00+01
41736767	56	3457	<java><java-8>	2017-01-19 08:08:00+00
43303090	53	2826	<c++><gcc><assembly><x86-64>	2017-04-09 04:36:00+01
41984399	73	40824	<docker><dockerfile>	2017-02-01 16:08:00+00
42355194	153	15687	<python><performance><python-3.x><python-3.5><python-internals>	2017-02-20 22:15:00+00
42613882	140	97185	<cordova><ionic-framework><android-gradle>	2017-03-05 20:56:00+00
42690073	75	6650	<c#><.net><type-conversion>	2017-03-09 08:18:00+00
42696948	113	52991	<msbuild><visual-studio-2017><build-tools><build-server>	2017-03-09 13:41:00+00
41519481	107	42523	<angular><angular2-material>	2017-01-07 08:34:00+00
